event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,custom3,company,audience,subject,geo_area,tags,host_org,rsvp_url
57,Standard FNM,Y,6/11/15 20:00,6/11/15 22:00,Magic the Gathering,Card Game,,This is a free event,,Robert Graves,,,,,Dragon's Den,,,,,,,,,Dragon's Den,
58,BFZ Sealed,Y,6/11/15 20:00,6/11/15 22:00,Magic the Gathering,Card Game,,There is a $20 fee,,Robert Graves,,,,,Dragon's Den,,,,,,,,,Dragon's Den,
59,MTG Rochester Draft,Y,7/11/15 12:00,7/11/15 15:00,Magic the Gathering,Card Game,,There is a $12 fee,,Robert Graves,,,,,Dragon's Den,,,,,,,,,Dragon's Den,
6,X-Wing Escalation,Y,7/11/15 14:10,7/11/15 16:10,Miniatures,Tournament,,Final round of an X-Wing Miniatures Escalation Tournament. <br /> Participants are expected to bring all the materials needed to play. Please bring a mat if you are able.<br /> <br /> Using the Offical Rules: https://images-cdn.fantasyflightgames.com/filer_public/c7/6f/c76f220b-5efd-4afc-912b-e67dfcda034e/x-wing_escalationrules_v301.pdf,,Jeremy Haugen,,,,,Miniatures,,,,,,,,,,
60,MTG Commander Pods of 4,Y,7/11/15 15:00,7/11/15 20:00,Magic the Gathering,Card Game,,There is a $5 fee,,Robert Graves,,,,,Dragon's Den,,,,,,,,,Dragon's Den,
61,MTG 1v1 Commander,Y,7/11/15 20:00,7/11/15 23:00,Magic the Gathering,Card Game,,There is a $5 entry fee.,,Robert Graves,,,,,Dragon's Den,,,,,,,,,Dragon's Den,
62,MTG BFZ Sealed,Y,8/11/15 13:00,8/11/15 16:00,Magic the Gathering,Card Game,,There is a $20 fee.,,Robert Graves,,,,,Dragon's Den,,,,,,,,,Dragon's Den,
63,Werewolf Game,Y,7/11/15 13:00,7/11/15 17:00,Role Playing,Interactive Role Playing,,"When werewolves come to our peaceful village, the only solution is to find them out by discussion and execute them (by voting at the end of the day). Be careful because werewolves eat a villager every night. Play as innocent villager, werewolf, seer, medium, minion or other roles. This game is a variant of Mafia.",,Man Wang,,,,,RPGA Table 3,,,,,,,,,,
64,Werewolf Game,N,7/11/15 13:00,7/11/15 17:00,Role Playing,Interactive Role Playing,,"When werewolves come to our peaceful village, the only solution is to find them out by discussion and execute them (by voting at the end of the day). Be careful because werewolves eat a villager every night. Play as innocent villager, werewolf, seer, medium, minion or other roles. This game is a variant of Mafia.",,Man Wang,,,,,RPG Area,,,,,,,,,,
65,Werewolf Game,N,7/11/15 13:00,7/11/15 17:00,Role Playing,Interactive Role Playing,,"When werewolves come to our peaceful village, the only solution is to find them out by discussion and execute them (by voting at the end of the day). Be careful because werewolves eat a villager every night. Play as innocent villager, werewolf, seer, medium, minion or other roles (depending on the number of people playing). This game is a variant of Mafia.",,Man Wang,,,,,RPG Area,,,,,,,,,,
66,Settlers of Catan,Y,8/11/15 18:00,8/11/15 20:00,Board Game,Board Game,,"Picture yourself in the era of discoveries: after a long voyage of great deprivation, your ships have finally reached the coast of an uncharted island. Its name shall be Catan! But you are not the only discoverer. Other fearless seafarers have also landed on the shores of Catan: the race to settle the island has begun!",,Zachary Truesdell,,,,,Gaming Table 1,,,,,,,,,,
67,Tsuro,Y,8/11/15 16:00,8/11/15 17:00,Board Game,Board Game,,"Create your own journey with Tsuro... the Game of the Path. Place a tile and slide your stone along the path created, but takecare, Other players' paths can lead you in the wrong direction, or off the board entirely! Find your way wisely to succeed. The rules are simple: you place a tile to build the next step for your stone to follow. Paths will cross and connect, and the choices you make affect all the journey across the board.",,Zachary Truesdell,,,,,Gaming Table 1,,,,,,,,,,
68,Rocket League 1v1 Tourney,Y,7/11/15 10:00,7/11/15 11:00,Video Game,Video Game,,"Rocket Propelled RC Cars playing Soccer, Can you even imagine the hype behind it?! Come play, even if you're not good, no one is good!<br />",,Colin Morris,,,,,Video Game Alleyway,,,,,,,,,Gaming Club,
69,Smash Bros 1v1 Tourney,Y,7/11/15 23:00,8/11/15 0:30,Video Game,Video Game,,"Smash Bros 4 1v1 tourny all characters unlock, all items on. Test your might!",,Colin Morris,,,,,Video Game Alleyway Projector 2,,,,,,,,,Gaming Club,
7,NaNaWrimo- Let's fight writers block,Y,7/11/15 15:30,7/11/15 17:00,Panel,Panel,,"Talking about ways to keep the creative flow. Advice for people who are just beginning NaNoWriMo. Struggles with staying on task, and making goal. Discussion about what helps most while trying to crank out words. The struggle o finding an idea and sticking with it. As well as staying positive, and many more struggles that go a long with NaNoWriMo. This can also help writers in general.",,Lina Love,,,,,Gaming Table 2,,,,,,,,,,
70,7 Wonders,Y,8/11/15 8:30,8/11/15 9:30,Board Game,Board Game,,"Create the greatest civilization the Ancient World has ever known!<br /> In 7 Wonders, you lead an ancient civilization as it rises from its barbaric roots to become a world power. Lead your troops to a military victory or create a nation of artisans and philosophers. Establish a powerful merchant state or master the mysteries of science and technology. Build an architectural wonder that will fascinate for eons to come, and rule the most powerful civilization on Earth!",,Zachary Truesdell,,,,,Gaming Table 1,,,,,,,,,,
71,Boss Monster,Y,7/11/15 8:30,7/11/15 9:30,Card Game,Card Game,,"Inspired by a love of classic video games, Boss Monster: The Dungeon Building Card Game pits 2-4 players in a competition to build the ultimate side-scrolling dungeon. Players compete to lure and destroy hapless adventurers, racing to outbid one another to see who can build the most enticing, treasure-filled dungeon. The goal of Boss Monster is to be the first Boss to amass ten Souls, which are gained when a Hero is lured and defeated - but a player can lose if his Boss takes five Wounds from Heroes who survive his dungeon. Playing Boss Monster requires you to juggle two competing priorities: the need to lure Heroes at a faster rate than your opponents, and the need to kill those Heroes before they reach your Boss.",,Zachary Truesdell,,,,,Gaming Table 2,,,,,,,,,,
72,Smash Bros 2v2 Tourney,Y,7/11/15 15:00,7/11/15 17:00,Video Game,Video Game,,"Smash bros 4 all characters unlocked all items on, no team damage! Test your might!",,Colin Morris,,,,,Video Game Alleyway,,,,,,,,,Gaming Club,
73,"Mario Party 10, The Ender",Y,7/11/15 17:00,7/11/15 19:00,Video Game,Video Game,,"Come ruin some friendships with some strangers, Mario Party one map, Win it up! Test Your Might!",,Colin Morris,,,,,Video Game Alleyway Projector 1,,,,,,,,,Gaming Club,
74,Uno,Y,6/11/15 18:00,6/11/15 19:00,Card Game,luck based,,"Basic Uno games, players are asked if they want to play for points or for fun, until one person goes out or until everyone's done, and hopefully don't kill each other while they play.",,Kelsey Kitzelman,,,,,Gaming Table 5,,,,,,,,,,
75,Mario Kart 8 FFA,Y,7/11/15 20:00,7/11/15 22:00,Video Game,Video Game,,"With all dlc characters, Show your dominance in a fun filled game of Mario and Karts and blue turtle shells! Test Your Might!",,Colin Morris,,,,,Video Game Alleyway Projector 2,,,,,,,,,Gaming Club,
76,Mario Kart 8 2v2,Y,7/11/15 22:00,8/11/15 0:00,Video Game,Video Game,,"With all dlc characters, Show your dominance in a fun filled game of Mario and Karts, Blue turtleshells and friendship! Test Your might!",,Colin Morris,,,,,Video Game Alleyway,,,,,,,,,Gaming Club,
77,Hearthstone Constructed 1v1,Y,8/11/15 13:00,8/11/15 14:00,Video Game,Video Game,,"Come Play the electronic card game blizzard developed and win a prize, enjoy! Constructed and no ban list.",,Colin Morris,,,,,Video Game Alleyway,,,,,,,,,Gaming Club,
78,Don't Break The Ice,Y,8/11/15 15:00,8/11/15 16:00,Board Game,Board Game,,A child hood favorite brought back to a competitive scene. Test your luck and not trying to break that ice. Test Your Might!<br />,,Colin Morris,,,,,Gaming Table 1,,,,,,,,,Gaming Club,
79,Coup,Y,8/11/15 16:00,8/11/15 17:00,Board Game,Board Game,,Test how well you can read people and whether or not you can lie your way out of a situation! With the board game Coup! Test your might!,,Colin Morris,,,,,Gaming Table 1,,,,,,,,,Gaming Club,
8,Pathfinder Society Scenario #6-98: Serpents Rise,Y,8/11/15 10:00,8/11/15 15:00,Role Playing,Role Playing,,"A Pathfinder Society Scenario designed for 7th-level pregenerated characters.<br /> <br /> Years of political maneuvering, espionage, smuggling, and diplomacy have set the stage for the Aspis Consortium&acirc;&euro;&trade;s most ambitious attack on their Inner Sea rivals: the Pathfinder Society. All that remains are several key preparations that only an elite team of Aspis agents can arrange, and once the fireworks begin, these same agents must strike quickly and mercilessly to secure objectives&acirc;&euro;&rdquo;some shared and some connected to deeper plots&acirc;&euro;&rdquo;and escape without the Society being any the wiser.<br /> <br /> In this adventure the players portray agents of the Aspis Consortium using 7th-level pregenerated characters. The events in this story also connect to and expand upon those in ""Siege of Serpents"".<br /> <br /> Written by John Compton.",,Jason Rosauer,,,,,RPGA Table 2,,,,,,,,,Pathfinder Society,
80,War of the Dead (Part 1) - Savage Worlds,Y,6/11/15 17:30,6/11/15 22:00,Role Playing,Role Playing,,"War of the Dead brings the zombie apocalypse to the award winning Savage Worlds role-playing game. <br /> <br /> Broken down into 4 chapters of 13 adventures each, Chapter One begins aboard the maiden voyage of the Pinnacle cruise ship as the group first encounters the Living Dead. Unfortunately for the characters, having 3,000 people in such a confined space enables the Living Dead to spread quickly, and before they know it-they're forced into a battle of pure survival against a cruise ship overrun with zombies.<br /> <br /> Can they survive long enough to get back to land?<br /> <br /> (Characters will be built beforehand, no prior experience with Savage Worlds required!)",,Adam Larson,,,,,RPGA Table 3,,,,,,,,,,
81,War of the Dead (Part 2) - Savage Worlds,Y,7/11/15 14:00,7/11/15 17:00,Role Playing,Role Playing,,"War of the Dead brings the zombie apocalypse to the award winning Savage Worlds role-playing game. <br /> <br /> Broken down into 4 chapters of 13 adventures each, Chapter One begins aboard the maiden voyage of the Pinnacle cruise ship as the group first encounters the Living Dead. Unfortunately for the characters, having 3,000 people in such a confined space enables the Living Dead to spread quickly, and before they know it-they're forced into a battle of pure survival against a cruise ship overrun with zombies.<br /> <br /> Can they survive long enough to get back to land?<br /> <br /> (Characters will be built beforehand, no prior experience with Savage Worlds required!)",,Adam Larson,,,,,RPGA Table 2,,,,,,,,,,
82,War of the Dead (Part 3) - Savage Worlds,Y,8/11/15 13:00,8/11/15 16:00,Role Playing,Role Playing,,"War of the Dead brings the zombie apocalypse to the award winning Savage Worlds role-playing game. <br /> <br /> Broken down into 4 chapters of 13 adventures each, Chapter One begins aboard the maiden voyage of the Pinnacle cruise ship as the group first encounters the Living Dead. Unfortunately for the characters, having 3,000 people in such a confined space enables the Living Dead to spread quickly, and before they know it-they're forced into a battle of pure survival against a cruise ship overrun with zombies.<br /> <br /> Can they survive long enough to get back to land?",,Adam Larson,,,,,RPGA Table 4,,,,,,,,,,
83,nintendo 64 super smash 1v1,Y,7/11/15 15:00,7/11/15 17:00,Video Game,Video Game,,1v1 n64 super smash brothers tournament single elimination,,Preston Evans,,,,,Video Game Alleyway Projector 2,,,,,,,,,,
84,Liers Dice,Y,6/11/15 22:00,6/11/15 23:00,Board Game,Board Game,,Play a classic pirate game where you guess,,Colin Morris,,,,,Gaming Table 4,,,,,,,,,Gaming Club,
85,Student Game Demos,Y,7/11/15 11:00,7/11/15 15:00,Presentation,Panel,,Come on down and play and test the games that the Game Design majors have been working on.,,Jeff Howard,,,,,Main Hall,,,,,,,,,DSU,
86,Future-Proofing Games,Y,6/11/15 18:00,6/11/15 19:00,IDIG,"Panel, Presentation",,"The video game industry has changed radically over the last several years. Trying to anticipate the shifts of the industry and design games work within these shifts is very difficult. Despite these shifts, one thing seems assured, games will continue to be popular and grow as an entertainment medium for the forseeable future. This talk will analyze the core components of video games and how they relate to popular culture in order to present a methodology to create games that are future proof for an ever changing and radically shifting industry.",Denis Dyack,Jeff Howard,,,,,Theatre,,,,,,,,,IDIG,
87,Nanocon Simcity,Y,6/11/15 17:00,7/11/15 1:00,Video Game,Video Game,,"A Nanocon long, co-operative round of the SNES version of Simcity. What kind of city is Nanocon? Lets find out by adding our bits to the city.",,Zachery Swope,,,,,Computer Gaming Area,,,,,,,,,,
88,Nanocon Simcity,Y,7/11/15 8:00,8/11/15 4:00,Video Game,Video Game,,"A Nanocon long, co-operative round of the SNES version of Simcity. What kind of city is Nanocon? Lets find out by adding our bits to the city.",,Zachery Swope,,,,,Computer Gaming Area,,,,,,,,,,
89,Nanocon Simcity,Y,8/11/15 8:00,9/11/15 4:00,Video Game,Video Game,,"A Nanocon long, co-operative round of the SNES version of Simcity. What kind of city is Nanocon? Lets find out by adding our bits to the city.",,Zachery Swope,,,,,Computer Gaming Area,,,,,,,,,,
9,Pathfinder Society Scenario #6-99: True Dragons of Absalom,Y,6/11/15 20:00,7/11/15 1:00,Role Playing,Role Playing,,"A Pathfinder Society Scenario designed for 4th-level pregenerated characters.<br /> <br /> For several years, the Pathfinder Society has enjoyed a mutually beneficial alliance with the Sewer Dragons, the dominant tribe of kobolds living beneath Absalom. When an elite patrol discovers a wounded member of the Society with a desperate message, the Sewer Dragons must move quickly intercept an extraordinary threat from seizing their territory&acirc;&euro;&rdquo;if not Absalom itself! In this special adventure the players portray kobolds as unlikely defenders of the City at the Center of the World using 4th-level pregenerated characters.<br /> <br /> Written by Thurston Hillman.",,Jason Rosauer,,,,,RPGA Table 4,,,,,,,,,Pathfinder Society,
90,Castle Panic,Y,6/11/15 21:00,6/11/15 22:00,Board Game,Board Game,,"""Defend together or be destroyed!"" A co-operative game where you work with other players to defend your castle from waves of monsters. Simple to play and easy to learn.",,Courtney Eley,,,,,Gaming Table 1,,,,,,,,,,
91,Pandemic,Y,7/11/15 13:00,7/11/15 14:00,Board Game,Board Game,,"""Can you save humanity?"" A co-operative game where four members of the CDC must work together and use their skills to the fullest to save the world from spreading diseases.",,Courtney Eley,,,,,Gaming Table 1,,,,,,,,,,
92,Castle Panic,Y,7/11/15 16:00,7/11/15 17:00,Board Game,Board Game,,"""Defend together or be destroyed!"" A co-operative game where you work with other players to defend your castle from waves of monsters. Simple to play and easy to learn.",,Courtney Eley,,,,,Gaming Table 1,,,,,,,,,,
93,Pandemic,Y,8/11/15 11:00,9/11/15 0:00,Board Game,Board Game,,"""Can you save humanity?"" A co-operative game where four members of the CDC must work together and use their skills to the fullest to save the world from spreading diseases.",,Courtney Eley,,,,,Gaming Table 1,,,,,,,,,,
94,nintendo 64 super smash 1v1,Y,7/11/15 17:00,7/11/15 19:00,Video Game,Computer Game,,1 v 1 n64 super smash brothers tourney,,Preston Evans,,,,,Video Game Alleyway Projector 2,,,,,,,,,,
95,nintendo 64 super smash 2v2,Y,7/11/15 19:00,7/11/15 21:00,Video Game,Computer Game,,2v2 n64 super smash brothers action.,,Preston Evans,,,,,Video Game Alleyway Projector 1,,,,,,,,,,
96,halo 5 slayer 1v1,Y,8/11/15 17:00,8/11/15 19:00,Video Game,Computer Game,,halo 5 slayer.,,Preston Evans,,,,,Video Game Alleyway,,,,,,,,,,
97,halo 5 swat 1v1,Y,8/11/15 19:00,8/11/15 21:00,Video Game,Computer Game,,halo 5 swat 1v1,,Preston Evans,,,,,Video Game Alleyway,,,,,,,,,,
98,Paint and Take,Y,6/11/15 17:00,6/11/15 21:00,Miniatures,Miniatures,,"Come try your hand at painting a miniature. Paints, minis, brushes, and advice will all be available.",,Tucker Ramhorst,,,,,Paint and Take,,,,,,,,,,
99,Paint and Take,Y,7/11/15 10:00,7/11/15 21:00,Miniatures,Miniatures,,"Come try your hand at painting a miniature. Paints, minis, brushes, and advice will all be available.",,Tucker Ramhorst,,,,,Paint and Take,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
